,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Check,Month,Year,Day_Perc_Change,Trend,moving_21,std_dev,std_2,upper,lower
13,13,HEROMOTOCO,EQ,2017-06-01,3745.45,3742.0,3815.0,3708.8,3730.0,3733.35,3776.56,451621,1705571882.15,37325,279018,61.78,ok,6,2017,-0.3230586444886385,Slight or No change,3627.7678571428564,8.555992052350444,17.111984104700888,3636.323849195207,3619.211865090506
14,14,HEROMOTOCO,EQ,2017-06-02,3733.35,3758.8,3857.5,3750.0,3849.95,3849.75,3827.99,570351,2183296767.4,35344,275420,48.29,ok,6,2017,3.117843223914174,Among top gainers,3651.6464285714283,82.30722933011292,164.61445866022584,3733.953657901541,3569.3391992413153
15,15,HEROMOTOCO,EQ,2017-06-05,3849.75,3850.0,3880.55,3821.25,3830.55,3834.95,3847.29,181146,696921627.7,21548,70089,38.69,ok,6,2017,-0.384440548087539,Slight or No change,3667.0428571428565,10.46518036154993,20.93036072309986,3677.5080375044063,3656.5776767813068
17,17,HEROMOTOCO,EQ,2017-06-07,3799.95,3803.85,3856.05,3803.85,3841.0,3843.25,3844.22,426059,1637862448.85,44951,294488,69.12,ok,6,2017,1.139488677482614,Positive,3695.9857142857136,30.617723625374026,61.23544725074805,3726.6034379110874,3665.3679906603397
19,19,HEROMOTOCO,EQ,2017-06-09,3784.45,3796.3,3800.5,3755.6,3786.0,3780.1,3779.46,302560,1143513647.5,19861,198672,65.66,ok,6,2017,-0.11494404735166165,Slight or No change,3726.7321428571418,3.0759144981348068,6.1518289962696135,3729.8080573552766,3723.656228359007
20,20,HEROMOTOCO,EQ,2017-06-12,3780.1,3777.0,3790.0,3760.35,3771.05,3773.25,3779.97,182605,690242211.0,17760,117935,64.58,ok,6,2017,-0.18121213724504592,Slight or No change,3740.17857142857,4.843681451112991,9.687362902225981,3745.022252879683,3735.3348899774574
22,22,HEROMOTOCO,EQ,2017-06-14,3752.5,3764.0,3808.0,3751.05,3781.3,3789.05,3788.77,374661,1419506200.95,39825,260012,69.4,ok,6,2017,0.9740173217854808,Slight positive,3765.0428571428565,25.844752852365822,51.689505704731644,3790.887609995222,3739.198104290491
23,23,HEROMOTOCO,EQ,2017-06-15,3789.05,3786.0,3820.0,3760.0,3774.0,3777.7,3785.08,163019,617039697.15,14888,94856,58.19,ok,6,2017,-0.2995473799501269,Slight or No change,3776.4214285714274,8.025661966457001,16.051323932914002,3784.4470905378844,3768.3957666049705
24,24,HEROMOTOCO,EQ,2017-06-16,3777.7,3798.0,3798.0,3757.8,3780.0,3783.55,3780.53,229485,867574013.0,20613,161061,70.18,ok,6,2017,0.1548561293909012,Slight or No change,3784.832142857142,4.136574669922262,8.273149339844524,3788.968717527064,3780.69556818722
25,25,HEROMOTOCO,EQ,2017-06-19,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,674886161.8,22384,76227,43.17,ok,6,2017,1.1074255659367482,Positive,3790.9107142857133,29.627774131711924,59.25554826342385,3820.538488417425,3761.2829401540016
30,30,HEROMOTOCO,EQ,2017-06-27,3660.1,3676.0,3711.7,3636.6,3700.0,3695.2,3671.43,365879,1343297828.15,44560,262472,71.74,ok,6,2017,0.9589901915248112,Slight positive,3768.682142857142,24.819448019651293,49.63889603930259,3793.501590876793,3743.862694837491
